"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","1:06:36","1:06:36","9.08","7:20","","149","164","1,908","591","","","","","180","","","1.22","","","1,017","53.6","6:08","189","1:06:34","7:20"
"Summary","1:06:36","1:06:36","9.08","7:20","","149","164","1,908","591","","","","","180","","","1.22","","","1,017","53.6","6:08","189","1:06:34","7:20"
